mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-384.6607360839844,61.83318710327149,13.038519859313965,14.21636962890625,3.04164719581604,1.7681869268417358,-5.552059650421143,-9.945011138916016,-6.121622562408447,-4.053721904754639,-5.991493225097656,-5.510682582855225,-5.782248020172119,REAL
-241.4769592285156,103.56517791748048,-27.88402557373047,14.827432632446287,-25.02202796936035,-19.58390235900879,-16.12415313720703,-31.240827560424805,-18.550365447998047,-14.862069129943848,-15.319034576416016,-1.1910172700881958,-13.626073837280272,FAKE
-308.1461181640625,71.66804504394531,-0.0315295085310936,19.100217819213867,3.834162712097168,4.633814334869385,-12.899606704711914,-12.7855863571167,-11.04901123046875,-16.807220458984375,-5.311526298522949,-6.182584285736084,-11.27118968963623,REAL
-294.7886657714844,68.18013000488281,2.9338173866271973,22.061182022094727,-15.034683227539062,-6.377481937408447,-11.112356185913086,-13.786312103271484,-15.133716583251951,-10.714093208312988,-9.529877662658691,0.8675287961959839,-5.447413444519043,REAL
-305.3634338378906,64.72962188720703,11.119443893432615,30.89950942993164,-10.244274139404297,-18.31479835510254,-24.01656913757324,-24.84988784790039,-16.786470413208008,-9.455455780029297,-11.658823013305664,-9.98300075531006,-1.308375120162964,FAKE
-265.4173278808594,61.31211471557617,-12.942805290222168,33.24317169189453,-14.154654502868652,-6.257019519805908,-36.613258361816406,-24.664419174194336,-4.620226860046387,-8.02396011352539,0.0825197696685791,-2.443507432937622,-0.4458276331424713,FAKE
-309.17779541015625,54.11913299560547,-4.467925548553467,25.969823837280277,-12.85274887084961,-9.869133949279783,-17.529882431030273,-9.205279350280762,-13.12371826171875,-13.535395622253418,-6.566802978515625,-6.790730953216553,-6.415099620819092,REAL
-288.4571228027344,89.06256103515625,-16.360843658447266,16.475173950195312,-13.782506942749023,-6.44995641708374,-24.613481521606445,-25.072927474975582,-10.558855056762695,-7.715291976928711,-6.9489030838012695,-11.371047019958496,-2.4247734546661377,FAKE
-360.9501037597656,63.98907852172852,6.045439720153809,25.35256767272949,-0.0796470642089843,-4.340908050537109,-10.571556091308594,-13.076397895812988,-1.035802125930786,-2.521143913269043,-9.464540481567385,-5.696641445159912,-3.890443563461304,REAL
-290.9603576660156,57.5086555480957,0.5512740612030029,2.869749069213867,-12.33630657196045,2.435319185256958,-17.17314910888672,-16.967926025390625,-12.902441024780272,-12.777710914611816,-5.3616719245910645,-6.370741844177246,-16.39385986328125,REAL
-337.4506530761719,65.30130004882812,1.8962256908416748,19.088085174560547,-0.7688432335853577,-4.614261150360107,-17.711172103881836,-15.136075019836426,-11.370707511901855,-14.983156204223633,-3.97294020652771,-5.218321800231934,-4.589139461517334,REAL
-327.0354309082031,64.47755432128906,-10.696195602416992,33.33221435546875,-23.7816162109375,-2.915859699249268,-16.850290298461914,-30.160104751586918,-6.279644012451172,-19.6434326171875,-7.07927942276001,-8.883949279785156,-1.7200337648391724,FAKE
